OMIE - Mercado de electricidad;Fecha Emisión :13/04/2023 - 14:06;;14/04/2023;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);    90,76;    87,72;    87,41;    83,49;    78,10;    72,24;    72,86;    78,04;    78,04;    41,64;    25,00;     4,16;     4,16;     4,00;     1,60;     1,50;     1,50;     2,00;     4,16;    25,20;    73,25;    82,89;    75,34;    46,34;
Precio marginal en el sistema portugués (EUR/MWh);    90,76;    87,72;    87,41;    83,49;    78,10;    72,24;    72,86;    78,04;    78,04;    41,64;    30,00;    41,22;    37,32;    28,00;     1,60;     1,50;     1,50;     2,00;     4,16;    25,20;    73,25;    82,89;    75,34;    46,34;
Energía total de compra sistema español (MWh);  12741,7;  12294,7;  11870,2;  11690,6;  11688,8;  11937,9;  13006,8;  14424,9;  15261,1;  15727,8;  18677,2;  23991,7;  24101,0;  24055,4;  23763,2;  23085,4;  22649,5;  22429,7;  22226,2;  18088,9;  16330,0;  16179,1;  15183,8;  14324,6;
Energía total de venta sistema español (MWh);  15526,1;  15266,8;  14548,2;  14169,5;  14343,4;  14640,6;  14946,4;  15882,3;  17253,6;  19881,6;  23562,2;  28446,7;  28556,0;  28510,4;  28181,5;  27676,1;  27116,5;  26893,3;  26404,2;  22553,6;  19368,1;  18986,3;  18486,3;  18387,3;
Energía total de compra sistema portugués (MWh);   5288,1;   4852,7;   4549,2;   4366,9;   4429,0;   4544,8;   4624,7;   4925,3;   5449,0;   6693,3;   7588,0;   7230,4;   7469,3;   7733,1;   7910,5;   7852,8;   7756,4;   7649,6;   7385,7;   7277,9;   6223,4;   6362,1;   6213,8;   6019,0;
Energía total de venta sistema portugués (MWh);   4303,7;   3680,6;   3671,2;   3688,0;   3324,4;   3392,1;   3835,1;   4617,9;   4606,5;   3689,5;   3853,0;   4125,4;   4364,3;   4628,1;   4842,2;   4962,1;   4989,4;   4886,0;   4657,7;   4263,2;   4635,3;   5004,9;   4361,3;   3406,3;
Energía total del mercado Ibérico (MWh);  18029,8;  17147,4;  16419,4;  16057,5;  16117,8;  16482,7;  17631,5;  19350,2;  20710,1;  22421,1;  26265,2;  31222,1;  31570,3;  31788,5;  31673,7;  30938,2;  30405,9;  30079,3;  29611,9;  25366,8;  22553,4;  22541,2;  21397,6;  20343,6;
Energía total con bilaterales del mercado Ibérico (MWh);  28521,3;  26889,7;  25806,5;  25251,7;  25262,5;  25827,3;  28078,6;  31250,5;  33445,4;  35554,5;  39644,0;  39932,8;  40274,2;  40540,5;  40379,5;  39499,8;  38851,9;  38524,8;  38012,4;  37867,0;  35454,5;  35470,5;  33361,3;  31175,4;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
Exportación de España a Portugal (MWh);    984,4;   1172,1;    878,0;    678,9;   1104,6;   1152,7;    789,6;    307,4;    842,5;   3003,8;   3735,0;   3105,0;   3105,0;   3105,0;   3068,3;   2890,7;   2767,0;   2763,6;   2728,0;   3014,7;   1588,1;   1357,2;   1852,5;   2612,7;
;;;;;;;;;;;;;;;;;;;;;;;;;
