OMIE - Mercado de electricidad;Fecha Emisión :19/05/2021 - 23:18;;11/04/2020;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  25,21;  22,52;  18,10;  18,10;  18,00;  18,01;  18,10;  21,02;  18,10;  22,00;  24,30;  24,50;  24,98;  26,00;  25,90;  20,31;  18,10;  17,99;  19,50;  21,11;  26,18;  29,00;  26,45;  25,10;
Precio marginal en el sistema portugués (EUR/MWh);  25,21;  22,52;  18,10;  18,10;  18,00;  18,01;  18,10;  21,02;  18,10;  22,00;  24,30;  24,50;  24,98;  26,00;  25,90;  20,31;  18,10;  17,99;  19,50;  21,11;  26,18;  29,00;  26,45;  25,10;
Energía total de compra sistema español (MWh);  15636,6;  14433,3;  13812,2;  13262,1;  13097,4;  13059,5;  13440,9;  13445,6;  14161,8;  15236,2;  16864,1;  17895,2;  18450,7;  19468,6;  19412,2;  17729,6;  16805,6;  16293,4;  16146,6;  16433,6;  17731,7;  19746,6;  18218,6;  16632,5;
Energía total de venta sistema español (MWh);  14958,6;  14615,3;  14171,3;  13566,1;  13403,8;  13279,9;  13298,4;  13074,3;  13636,6;  14513,1;  16000,0;  17080,7;  17850,0;  18429,2;  18482,2;  17736,5;  17115,2;  16564,5;  15935,1;  15714,4;  15791,6;  17541,4;  16432,0;  15617,2;
Energía total de compra sistema portugués (MWh);   4584,7;   4339,7;   4314,8;   4150,2;   4119,7;   4066,9;   3763,0;   3647,2;   3836,6;   3809,4;   4101,0;   4339,0;   4673,5;   4935,8;   4877,2;   4736,1;   4939,2;   4895,8;   4551,7;   4687,1;   5039,1;   5480,0;   5179,7;   4773,5;
Energía total de venta sistema portugués (MWh);   2912,7;   1807,7;   1605,7;   1496,2;   1463,3;   1496,5;   1555,5;   1668,5;   1864,8;   2035,5;   2468,1;   2656,5;   2824,2;   3525,2;   3357,2;   2279,2;   2179,6;   2174,7;   2463,2;   3106,3;   4679,2;   5385,2;   4666,3;   3488,8;
Energía total del mercado Ibérico (MWh);  20221,3;  18773,0;  18127,0;  17412,3;  17217,1;  17126,4;  17203,9;  17092,8;  17998,4;  19045,6;  20965,1;  22234,2;  23124,2;  24404,4;  24289,4;  22465,7;  21744,8;  21189,2;  20698,3;  21120,7;  22770,8;  25226,6;  23398,3;  21406,0;
Energía total con bilaterales del mercado Ibérico (MWh);  23679,5;  21992,2;  21104,3;  20259,2;  20019,9;  19922,5;  19994,9;  20173,0;  21038,1;  22425,5;  24512,0;  26012,7;  27042,4;  28327,5;  28234,6;  26214,4;  25308,7;  24686,8;  24174,1;  24660,1;  26652,6;  29320,8;  27483,8;  25114,5;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
Exportación de España a Portugal (MWh);   1672,0;   2532,0;   2709,1;   2654,0;   2656,4;   2570,4;   2207,5;   1978,7;   1971,8;   1773,9;   1632,9;   1682,5;   1849,3;   1410,6;   1520,0;   2456,9;   2759,6;   2721,1;   2088,5;   1580,8;    359,9;     94,8;    513,4;   1284,7;
;;;;;;;;;;;;;;;;;;;;;;;;;
