OMIE - Mercado de electricidad;Fecha Emisión :15/11/2024 - 13:23;;16/11/2024;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);   104,59;    99,00;    94,50;    92,28;    92,37;    91,98;    93,99;   104,52;   114,32;   116,00;   112,20;   104,00;   101,49;    99,54;   101,51;   109,05;   120,64;   131,22;   134,00;   135,74;   138,20;   139,00;   131,79;   130,00;
Precio marginal en el sistema portugués (EUR/MWh);   104,59;    99,00;    94,50;    92,28;    92,37;    91,98;    93,99;   104,52;   114,32;   116,00;   112,20;   104,00;   101,49;    99,54;   101,51;   109,05;   120,64;   131,22;   134,00;   135,74;   138,20;   139,00;   131,79;   130,00;
Energía total de compra sistema español (MWh);  14328,0;  13783,4;  13028,0;  12933,1;  12596,1;  13289,9;  12814,1;  13308,5;  14264,4;  15132,2;  16448,1;  16757,3;  16322,9;  16544,4;  16443,6;  15304,0;  15311,9;  15831,9;  16767,3;  16923,3;  17323,9;  17045,9;  15494,6;  14171,8;
Energía total de venta sistema español (MWh);  13179,6;  12814,1;  12493,1;  11663,0;  11629,4;  11366,4;  11057,9;  10572,3;  11358,4;  13396,8;  16535,1;  17192,8;  17446,3;  16868,5;  16257,4;  14619,7;  12594,2;  11350,8;  11069,0;  10631,7;  11074,6;  10900,8;  10040,3;   8994,0;
Energía total de compra sistema portugués (MWh);   5606,7;   5100,9;   4776,4;   5211,3;   5107,2;   5026,9;   4418,2;   4467,7;   4649,0;   5152,8;   5445,8;   5582,4;   5722,4;   5794,6;   5597,4;   5495,4;   5471,5;   5270,7;   5610,6;   6043,2;   6114,1;   5950,6;   5581,7;   5124,7;
Energía total de venta sistema portugués (MWh);   5200,9;   4809,8;   4448,4;   4337,5;   4291,0;   4335,7;   4461,6;   4703,4;   5626,6;   5982,2;   6257,6;   5705,4;   5671,0;   5536,2;   5265,9;   5408,6;   5718,9;   6942,8;   8145,5;   8727,8;   8756,4;   8488,7;   7429,0;   6695,5;
Energía total del mercado Ibérico (MWh);  19934,7;  18884,3;  17804,4;  18144,4;  17703,3;  18316,8;  17232,3;  17776,2;  18913,4;  20285,0;  21893,9;  22339,7;  22045,3;  22339,0;  22041,0;  20799,4;  20783,4;  21102,6;  22377,9;  22966,5;  23438,0;  22996,5;  21076,3;  19296,5;
Energía total con bilaterales del mercado Ibérico (MWh);  28774,1;  27035,0;  25649,2;  25786,1;  25238,1;  25853,4;  25023,8;  26159,5;  27654,9;  29818,3;  31283,5;  31486,4;  31455,2;  31740,9;  31348,9;  30254,8;  29628,8;  29866,9;  31736,9;  32943,7;  33373,1;  32791,1;  30367,9;  27961,6;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;     43,4;    235,7;    977,6;    829,4;    811,8;    123,0;      0,0;      0,0;      0,0;      0,0;    247,4;   1672,1;   2534,9;   2684,6;   2642,3;   2538,1;   1847,3;   1570,8;
Exportación de España a Portugal (MWh);    405,8;    291,1;    328,0;    873,8;    816,2;    691,2;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;     51,4;    258,4;    331,5;     86,8;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
